1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Luis Abram,pe PER,DF,Granada,26-016,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
Marcos Acuña,ar ARG,DF,Sevilla,30-138,1991,24,19,1665,18.5,1,3,1,0,0,6,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,Matches
Martin Agirregabiria,es ESP,DF,Alavés,25-309,1996,18,16,1457,16.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,21-079,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Agüero,ar ARG,FW,Barcelona,33-286,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-040,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,26-167,1995,22,20,1738,19.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Carlos Akapo,gq EQG,DF,Cádiz,29-003,1993,16,13,1178,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Ilias Akhomach,es ESP,FW,Barcelona,17-333,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
Paul Akouokou,ci CIV,MF,Betis,24-085,1997,6,4,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
David Alaba,at AUT,DF,Real Madrid,29-264,1992,25,25,2242,24.9,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches
Tomás Alarcón,cl CHI,MF,Cádiz,23-055,1999,19,15,1326,14.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
Jordi Alba,es ESP,DF,Barcelona,32-359,1989,20,20,1749,19.4,1,7,1,0,0,5,0,0.05,0.36,0.41,0.05,0.41,0.9,0.9,3.4,4.3,0.05,0.17,0.22,0.05,0.22,Matches
Raúl Albiol,es ESP,DF,Villarreal,36-192,1985,22,22,1935,21.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.03,0.00,0.03,0.03,0.03,Matches
Paco Alcácer,es ESP,FW,Villarreal,28-197,1993,10,6,470,5.2,0,2,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,1.6,1.6,1.6,3.1,0.30,0.30,0.60,0.30,0.60,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,30-318,1991,7,6,570,6.3,2,0,2,0,0,3,0,0.32,0.00,0.32,0.32,0.32,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
Omar Alderete,py PAR,DF,Valencia,25-079,1996,22,21,1796,20.0,2,0,2,0,0,11,0,0.10,0.00,0.10,0.10,0.10,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
Iván Alejo,es ESP,MF,Cádiz,27-033,1995,12,5,569,6.3,1,2,1,0,0,5,0,0.16,0.32,0.47,0.16,0.47,0.3,0.3,1.1,1.4,0.04,0.18,0.22,0.04,0.22,Matches
Carles Aleñá,es ESP,MF,Getafe,24-069,1998,24,24,1885,20.9,1,2,1,0,0,6,1,0.05,0.10,0.14,0.05,0.14,1.4,1.4,1.5,2.9,0.07,0.07,0.14,0.07,0.14,Matches
Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21-352,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Hugo Álvarez,es ESP,FW,Celta Vigo,36-267,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,27-050,1995,15,15,1305,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches
Dani Alves,br BRA,DF,Barcelona,38-313,1983,5,5,422,4.7,1,2,1,0,0,1,1,0.21,0.43,0.64,0.21,0.64,0.1,0.1,1.2,1.3,0.02,0.26,0.28,0.02,0.28,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,20-115,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches
Amath,sn SEN,"FW,MF",Mallorca,25-242,1996,18,8,829,9.2,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,1.3,1.3,0.2,1.5,0.14,0.02,0.16,0.14,0.16,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Florin Andone,ro ROU,FW,Cádiz,28-338,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
José Ángel,es ESP,DF,Osasuna,32-191,1989,18,8,773,8.6,1,1,1,0,0,1,1,0.12,0.12,0.23,0.12,0.23,0.2,0.2,1.1,1.3,0.02,0.13,0.15,0.02,0.15,Matches
Josep Antoni Gayá,es ESP,DF,Mallorca,21-251,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mauro Arambarri,uy URU,MF,Getafe,26-166,1995,23,23,1943,21.6,0,5,0,0,0,9,0,0.00,0.23,0.23,0.00,0.23,0.9,0.9,1.5,2.4,0.04,0.07,0.11,0.04,0.11,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,30-198,1991,25,20,1844,20.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Ronald Araújo,uy URU,DF,Barcelona,23-008,1999,21,16,1521,16.9,3,0,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,0.4,1.3,0.05,0.02,0.08,0.05,0.08,Matches
Jesús Areso,es ESP,DF,Osasuna,22-256,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
Matias Arezo,uy URU,FW,Granada,19-114,2002,3,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.41,0.06,0.47,0.41,0.47,Matches
Santiago Arias,co COL,DF,Granada,30-061,1992,8,3,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.8,0.17,0.05,0.22,0.17,0.22,Matches
Santiago Arzamendia,py PAR,"MF,DF",Cádiz,23-314,1998,12,5,453,5.0,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
Sergio Asenjo,es ESP,GK,Villarreal,32-260,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marco Asensio,es ESP,"FW,MF",Real Madrid,26-053,1996,23,14,1265,14.1,8,0,8,0,0,2,0,0.57,0.00,0.57,0.57,0.57,5.6,5.6,1.8,7.4,0.40,0.13,0.53,0.40,0.53,Matches
Iago Aspas,es ESP,FW,Celta Vigo,34-226,1987,27,26,2212,24.6,13,4,10,3,5,9,0,0.53,0.16,0.69,0.41,0.57,9.9,6.0,5.1,11.1,0.40,0.21,0.61,0.24,0.45,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32-270,1989,6,4,370,4.1,5,0,5,0,0,0,0,1.22,0.00,1.22,1.22,1.22,2.3,2.3,0.2,2.5,0.56,0.05,0.61,0.56,0.61,Matches
Ludwig Augustinsson,se SWE,DF,Sevilla,27-328,1994,14,7,569,6.3,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.2,0.2,0.01,0.03,0.03,0.01,0.03,Matches
Serge Aurier,ci CIV,DF,Villarreal,29-081,1992,12,7,682,7.6,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.6,0.6,1.1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28-037,1994,26,13,1188,13.2,4,1,4,0,0,7,1,0.30,0.08,0.38,0.30,0.38,2.3,2.3,0.8,3.0,0.17,0.06,0.23,0.17,0.23,Matches
Iddrisu Baba,gh GHA,MF,Mallorca,26-052,1996,20,17,1476,16.4,2,0,2,0,0,7,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.2,1.5,0.08,0.01,0.09,0.08,0.09,Matches
Carlos Bacca,co COL,FW,Granada,35-188,1986,15,4,492,5.5,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.7,0.7,0.5,1.2,0.13,0.08,0.21,0.13,0.21,Matches
Édgar Badía,es ESP,GK,Elche,30-031,1992,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Baeza,es ESP,DF,Celta Vigo,21-353,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alejandro Balde,es ESP,"FW,DF",Barcelona,18-148,2003,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Gareth Bale,wls WAL,FW,Real Madrid,32-242,1989,4,4,263,2.9,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.1,1.1,0.0,1.1,0.37,0.01,0.38,0.37,0.38,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,34-014,1988,23,21,1844,20.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.02,0.03,0.01,0.03,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,30-073,1992,26,26,2340,26.0,1,2,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2.7,3.1,0.02,0.10,0.12,0.02,0.12,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Barbero,es ESP,"FW,MF",Osasuna,23-210,1998,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
Enis Bardhi,mk MKD,"MF,FW",Levante,26-256,1995,22,14,1292,14.4,3,2,1,2,2,3,0,0.21,0.14,0.35,0.07,0.21,3.2,1.7,2.8,4.5,0.22,0.19,0.42,0.12,0.31,Matches
Keidi Bare,al ALB,MF,Espanyol,24-199,1997,20,13,1202,13.4,1,1,1,0,0,7,0,0.07,0.07,0.15,0.07,0.15,0.5,0.5,0.9,1.5,0.04,0.07,0.11,0.04,0.11,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,24-348,1997,14,8,678,7.5,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.6,1.6,0.13,0.09,0.22,0.13,0.22,Matches
Antonio Barragán,es ESP,DF,Elche,34-276,1987,13,10,853,9.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,20-078,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches
Marc Bartra,es ESP,DF,Betis,31-059,1991,15,15,1273,14.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches
Álvaro Bastida,es ESP,MF,Cádiz,17-307,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Battaglia,ar ARG,MF,Mallorca,30-246,1991,19,7,713,7.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,26-255,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Bebé,pt POR,"FW,MF",Rayo Vallecano,31-246,1990,22,3,562,6.2,1,2,1,0,0,2,0,0.16,0.32,0.48,0.16,0.48,0.8,0.8,1.7,2.6,0.14,0.28,0.41,0.14,0.41,Matches
Héctor Bellerín,es ESP,DF,Betis,26-361,1995,18,18,1596,17.7,0,2,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11,0.2,0.2,2.1,2.3,0.01,0.12,0.13,0.01,0.13,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,23-040,1999,28,22,1895,21.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.01,0.03,0.04,0.01,0.04,Matches
Darío Benedetto,ar ARG,FW,Elche,31-302,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches
Iker Benito,es ESP,"MF,FW",Osasuna,19-217,2002,3,1,95,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Pedro Benito,es ESP,FW,Cádiz,21-353,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Karim Benzema,fr FRA,FW,Real Madrid,34-086,1987,25,25,2056,22.8,22,11,17,5,6,0,0,0.96,0.48,1.44,0.74,1.23,17.2,12.6,7.1,19.7,0.75,0.31,1.06,0.55,0.86,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,32-033,1990,5,3,288,3.2,0,1,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.1,0.1,0.2,0.3,0.04,0.07,0.10,0.04,0.10,Matches
Álex Berenguer,es ESP,MF,Athletic Club,26-254,1995,25,18,1563,17.4,1,6,1,0,1,7,0,0.06,0.35,0.40,0.06,0.40,3.9,3.1,4.2,7.3,0.22,0.24,0.47,0.18,0.42,Matches
Pedro Bigas,es ESP,DF,Elche,31-181,1990,13,13,1086,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,Matches
Blanco,es ESP,MF,Real Madrid,21-235,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yassine Bounou,ma MAR,GK,Sevilla,30-344,1991,23,23,2070,23.0,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,Matches
Lucas Boyé,ar ARG,FW,Elche,26-015,1996,21,19,1549,17.2,7,3,7,0,0,3,0,0.41,0.17,0.58,0.41,0.58,4.8,4.8,1.8,6.6,0.28,0.10,0.39,0.28,0.39,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,30-283,1991,4,3,235,2.6,2,1,2,0,0,0,0,0.77,0.38,1.15,0.77,1.15,1.0,1.0,1.3,2.3,0.40,0.48,0.88,0.40,0.88,Matches
Darko Brašanac,rs SRB,MF,Osasuna,30-031,1992,26,20,1815,20.2,0,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.9,0.9,1.3,2.2,0.05,0.06,0.11,0.05,0.11,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Claudio Bravo,cl CHI,GK,Betis,38-336,1983,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Yan Brice Eteki,cm CMR,MF,Granada,24-201,1997,6,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Bryan,es ESP,"MF,FW",Valencia,21-032,2001,6,4,407,4.5,0,1,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,1.0,1.5,0.10,0.22,0.32,0.10,0.32,Matches
Ante Budimir,hr CRO,FW,Osasuna,30-236,1991,18,11,947,10.5,2,0,1,1,1,1,0,0.19,0.00,0.19,0.10,0.10,3.7,3.1,0.3,3.4,0.35,0.03,0.38,0.30,0.33,Matches
Sergio Busquets,es ESP,MF,Barcelona,33-242,1988,26,26,2298,25.5,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.3,0.3,1.5,1.8,0.01,0.06,0.07,0.01,0.07,Matches
Adrián Butzke,es ESP,FW,Granada,22-350,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Erick Cabaco,uy URU,DF,Getafe,26-330,1995,8,4,349,3.9,0,1,0,0,0,4,1,0.00,0.26,0.26,0.00,0.26,0.0,0.0,0.4,0.4,0.00,0.09,0.09,0.00,0.09,Matches
Leandro Cabrera,uy URU,DF,Espanyol,30-271,1991,27,27,2430,27.0,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,1.0,1.0,0.1,1.2,0.04,0.01,0.04,0.04,0.04,Matches
Martín Cáceres,uy URU,DF,Levante,34-342,1987,7,6,519,5.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
Cala,es ESP,DF,Cádiz,32-109,1989,13,10,930,10.3,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.05,0.00,0.06,0.05,0.06,Matches
Calderón,es ESP,DF,Betis,22-067,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
Fernando Calero,es ESP,DF,Espanyol,26-182,1995,7,5,391,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Víctor Camarasa,es ESP,"MF,FW",Betis,27-291,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Eduardo Camavinga,fr FRA,MF,Real Madrid,19-125,2002,17,6,639,7.1,2,0,2,0,0,4,0,0.28,0.00,0.28,0.28,0.28,0.9,0.9,0.4,1.3,0.11,0.06,0.17,0.11,0.17,Matches
José Campaña,es ESP,MF,Levante,28-288,1993,14,12,1060,11.8,2,0,2,0,1,4,1,0.17,0.00,0.17,0.17,0.17,1.2,0.4,0.6,1.0,0.10,0.05,0.15,0.03,0.08,Matches
Sergio Canales,es ESP,"FW,MF",Betis,31-027,1991,25,24,2001,22.2,4,6,4,0,0,5,0,0.18,0.27,0.45,0.18,0.45,3.9,3.9,3.9,7.7,0.17,0.17,0.35,0.17,0.35,Matches
Álex Cantero,es ESP,"FW,MF",Levante,21-280,2000,18,2,356,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,1.7,1.7,0.1,1.8,0.43,0.03,0.46,0.43,0.46,Matches
Étienne Capoue,fr FRA,MF,Villarreal,33-247,1988,21,20,1688,18.8,1,1,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.5,0.9,0.02,0.03,0.05,0.02,0.05,Matches
Isaac Carcelen,es ESP,"DF,MF",Cádiz,28-326,1993,21,16,1414,15.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches
Cárdenas,es ESP,GK,Levante,24-352,1997,15,15,1350,15.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carlo,es ESP,MF,Villarreal,21-031,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Diego Carlos,br BRA,DF,Sevilla,29-000,1993,25,25,2204,24.5,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.3,2.4,0.09,0.01,0.10,0.09,0.10,Matches
