1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Raúl García,es ESP,FW,Athletic Club,35-247,1986,25,18,1369,15.2,4,1,4,0,1,2,0,0.26,0.07,0.33,0.26,0.33,4.5,3.8,2.3,6.1,0.30,0.15,0.45,0.25,0.40,Matches
Rubén García,es ESP,"MF,FW",Osasuna,28-244,1993,27,24,1897,21.1,1,3,1,0,1,1,0,0.05,0.14,0.19,0.05,0.19,2.1,1.4,2.1,3.5,0.10,0.10,0.20,0.07,0.17,Matches
Saúl García,es ESP,FW,Alavés,27-126,1994,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Unai García,es ESP,DF,Osasuna,30-040,1992,16,13,1228,13.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mario Gaspar,es ESP,DF,Villarreal,31-111,1990,7,4,362,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.05,0.14,0.18,0.05,0.18,Matches
Óscar Gil,es ESP,DF,Espanyol,24-323,1997,18,16,1390,15.4,0,2,0,0,0,6,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,2.3,2.6,0.02,0.15,0.17,0.02,0.17,Matches
Dani Gómez,es ESP,FW,Levante,23-228,1998,20,6,650,7.2,3,2,3,0,0,1,0,0.42,0.28,0.69,0.42,0.69,2.8,2.8,1.5,4.3,0.38,0.21,0.59,0.38,0.59,Matches
Maxi Gómez,uy URU,FW,Valencia,25-213,1996,22,16,1504,16.7,3,1,3,0,0,7,1,0.18,0.06,0.24,0.18,0.24,3.0,3.0,1.8,4.8,0.18,0.11,0.29,0.18,0.29,Matches
Moi Gómez,es ESP,"MF,FW",Villarreal,27-265,1994,23,9,985,10.9,1,2,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,2.4,2.4,1.7,4.1,0.22,0.15,0.37,0.22,0.37,Matches
Papu Gómez,ar ARG,"FW,MF",Sevilla,34-028,1988,21,13,1298,14.4,4,1,4,0,0,2,0,0.28,0.07,0.35,0.28,0.35,1.6,1.5,1.0,2.5,0.11,0.07,0.18,0.10,0.18,Matches
Sergi Gómez,es ESP,DF,Espanyol,29-352,1992,25,25,2191,24.3,1,2,1,0,0,1,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,0.8,1.6,0.03,0.03,0.07,0.03,0.07,Matches
Maxime Gonalons,fr FRA,MF,Granada,33-005,1989,19,17,1256,14.0,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.7,1.1,0.02,0.05,0.07,0.02,0.07,Matches
Diego González,es ESP,DF,Elche,27-046,1995,21,14,1313,14.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.02,0.01,0.02,Matches
Édgar González,es ESP,DF,Betis,24-348,1997,19,13,1364,15.2,1,1,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,0.8,0.8,0.6,1.5,0.06,0.04,0.10,0.06,0.10,Matches
Giovanni González,uy URU,DF,Mallorca,27-176,1994,4,1,107,1.2,1,0,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.5,0.5,0.1,0.6,0.43,0.06,0.49,0.43,0.49,Matches
Nicolás González,es ESP,MF,Barcelona,20-071,2002,23,11,1022,11.4,2,1,2,0,0,5,0,0.18,0.09,0.26,0.18,0.26,1.4,1.4,1.2,2.6,0.12,0.11,0.23,0.12,0.23,Matches
Peter González,do DOM,"DF,FW",Real Madrid,19-233,2002,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,1.66,2.15,3.81,1.66,3.81,Matches
Roberto González,es ESP,"FW,MF",Betis,21-068,2001,4,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
Gori,es ESP,MF,Espanyol,19-304,2002,1,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Andoni Gorosabel,es ESP,DF,Real Sociedad,25-223,1996,22,19,1704,18.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.4,1.6,0.01,0.08,0.08,0.01,0.08,Matches
Jaume Grau,es ESP,MF,Osasuna,24-314,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dominik Greif,sk SVK,GK,Mallorca,24-343,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Clément Grenier,fr FRA,MF,Mallorca,31-067,1991,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Antoine Griezmann,fr FRA,FW,Barcelona,30-359,1991,3,3,263,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12,Matches
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,30-359,1991,16,13,1027,11.4,3,2,3,0,0,2,0,0.26,0.18,0.44,0.26,0.44,2.6,2.6,2.1,4.7,0.23,0.18,0.41,0.23,0.41,Matches
Arnaut Groeneveld,nl NED,FW,Villarreal,25-043,1997,18,15,1222,13.6,8,3,6,2,2,1,0,0.59,0.22,0.81,0.44,0.66,10.3,8.7,1.7,10.4,0.76,0.12,0.88,0.64,0.77,Matches
Andrés Guardado,mx MEX,MF,Betis,35-168,1986,22,13,1114,12.4,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.7,0.7,0.5,1.2,0.06,0.04,0.09,0.06,0.09,Matches
Sergi Guardiola,es ESP,FW,Rayo Vallecano,30-290,1991,22,12,1057,11.7,3,2,3,0,0,2,0,0.26,0.17,0.43,0.26,0.43,4.7,4.7,0.9,5.6,0.40,0.07,0.48,0.40,0.48,Matches
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,30-119,1991,14,5,653,7.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Gonçalo Guedes,pt POR,"FW,MF",Valencia,25-106,1996,27,25,2095,23.3,10,5,9,1,2,2,0,0.43,0.21,0.64,0.39,0.60,5.7,4.1,3.5,7.5,0.24,0.15,0.39,0.17,0.32,Matches
Ander Guevara,es ESP,MF,Real Sociedad,24-251,1997,15,11,851,9.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
John Guidetti,se SWE,"FW,MF",Alavés,29-334,1992,9,2,278,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.17,0.10,0.27,0.17,0.27,Matches
Hugo Guillamón,es ESP,"MF,DF",Valencia,22-043,2000,25,23,1916,21.3,1,0,1,0,0,8,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,0.4,0.7,0.02,0.02,0.03,0.02,0.03,Matches
Gerard Gumbau,es ESP,MF,Elche,27-087,1994,21,12,1201,13.3,0,2,0,0,0,6,1,0.00,0.15,0.15,0.00,0.15,0.4,0.4,1.3,1.7,0.03,0.10,0.13,0.03,0.13,Matches
Jon Guridi,es ESP,MF,Real Sociedad,27-015,1995,4,1,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Raúl Guti,es ESP,MF,Elche,25-075,1996,21,13,1197,13.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.04,0.01,0.05,0.04,0.05,Matches
Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,31-065,1991,3,1,136,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Gutiérrez,es ESP,DF,Real Madrid,20-231,2001,3,3,260,2.9,0,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.0,0.0,0.5,0.5,0.00,0.17,0.17,0.00,0.17,Matches
Munir El Haddadi,ma MAR,FW,Sevilla,26-195,1995,15,3,429,4.8,2,0,2,0,0,2,0,0.42,0.00,0.42,0.42,0.42,1.6,1.6,0.6,2.2,0.33,0.12,0.45,0.33,0.45,Matches
Varazdat Haroyan,am ARM,DF,Cádiz,29-203,1992,17,16,1437,16.0,1,0,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.2,0.8,0.04,0.01,0.05,0.04,0.05,Matches
Eden Hazard,be BEL,"FW,MF",Real Madrid,31-067,1991,17,7,690,7.7,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,1.2,1.2,2.5,3.7,0.15,0.33,0.48,0.15,0.48,Matches
Kike Hermoso,es ESP,DF,Betis,22-217,1999,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16,Matches
Mario Hermoso,es ESP,DF,Atlético Madrid,26-270,1995,23,19,1684,18.7,2,1,2,0,0,4,1,0.11,0.05,0.16,0.11,0.16,2.0,2.0,0.6,2.5,0.10,0.03,0.14,0.10,0.14,Matches
Aridane Hernández,gq EQG,DF,Osasuna,32-357,1989,8,6,574,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.02,0.00,0.03,0.02,0.03,Matches
Luis Hernández,es ESP,DF,Cádiz,32-335,1989,6,5,466,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.01,0.06,0.05,0.06,Matches
Mario Hernández,es ESP,"DF,FW",Rayo Vallecano,23-049,1999,3,2,145,1.6,1,0,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,0.4,0.4,0.0,0.4,0.23,0.00,0.23,0.23,0.23,Matches
Héctor Herrera,mx MEX,MF,Atlético Madrid,31-330,1990,17,6,700,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.06,0.05,0.11,0.06,0.11,Matches
Sergio Herrera,es ESP,GK,Osasuna,28-283,1993,27,27,2430,27.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yangel Herrera,ve VEN,MF,Espanyol,24-067,1998,15,11,996,11.1,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,0.7,1.5,0.07,0.07,0.14,0.07,0.14,Matches
Matthew Hoppe,us USA,FW,Mallorca,21-002,2001,4,1,129,1.4,0,1,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18,Matches
Robert Ibáñez,es ESP,MF,Osasuna,28-358,1993,4,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.38,0.16,0.55,0.38,0.55,Matches
Vicente Iborra,es ESP,MF,Villarreal,34-058,1988,14,8,715,7.9,0,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,0.6,1.0,0.05,0.08,0.13,0.05,0.13,Matches
Oussama Idrissi,ma MAR,"FW,MF",Sevilla,26-017,1996,5,2,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.08,0.16,0.08,0.16,Matches
Oussama Idrissi,ma MAR,MF,Cádiz,26-017,1996,4,3,232,2.6,1,1,1,0,0,1,0,0.39,0.39,0.78,0.39,0.78,0.7,0.7,0.4,1.1,0.27,0.15,0.42,0.27,0.42,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Iglesias,es ESP,DF,Getafe,23-255,1998,14,5,480,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.1,0.1,0.8,0.9,0.01,0.15,0.17,0.01,0.17,Matches
Borja Iglesias,es ESP,FW,Betis,29-057,1993,24,13,1078,12.0,8,0,6,2,2,4,0,0.67,0.00,0.67,0.50,0.50,6.9,5.4,1.8,7.2,0.58,0.15,0.73,0.45,0.60,Matches
Asier Illarramendi,es ESP,MF,Real Sociedad,32-007,1990,4,3,184,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nikita Iosifov,ru RUS,MF,Villarreal,20-338,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Isak,se SWE,FW,Real Sociedad,22-175,1999,23,19,1521,16.9,4,2,3,1,1,2,0,0.24,0.12,0.36,0.18,0.30,5.9,5.2,2.3,7.5,0.35,0.14,0.49,0.31,0.44,Matches
Isco,es ESP,"MF,FW",Real Madrid,29-328,1992,10,2,199,2.2,1,0,1,0,0,1,0,0.45,0.00,0.45,0.45,0.45,0.5,0.5,0.4,0.9,0.18,0.12,0.30,0.18,0.30,Matches
Nicolas Jackson,sn SEN,FW,Villarreal,20-268,2001,5,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.78,0.00,0.78,0.78,0.78,Matches
Jakub Jankto,cz CZE,"DF,MF",Getafe,26-055,1996,13,5,506,5.6,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.1,0.3,0.03,0.03,0.06,0.03,0.06,Matches
Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,27-038,1995,24,14,1238,13.8,2,0,1,1,1,4,0,0.15,0.00,0.15,0.07,0.07,2.7,1.9,2.9,4.8,0.19,0.21,0.40,0.14,0.35,Matches
Jason,es ESP,"MF,FW",Alavés,27-252,1994,8,6,420,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.06,0.13,0.20,0.06,0.20,Matches
Jason,es ESP,"MF,DF",Valencia,27-252,1994,5,1,75,0.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.17,0.24,0.07,0.24,Matches
Luis Javier Suárez,co COL,FW,Granada,24-103,1997,27,26,2217,24.6,6,3,6,0,1,4,0,0.24,0.12,0.37,0.24,0.37,8.1,7.3,2.3,9.7,0.32,0.09,0.41,0.29,0.38,Matches
Álvaro Jiménez,es ESP,"MF,FW",Cádiz,26-300,1995,9,1,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
Joaquín,es ESP,"FW,MF",Betis,40-237,1981,12,1,234,2.6,0,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,0.4,0.4,1.1,1.5,0.16,0.43,0.59,0.16,0.59,Matches
Jofre,es ESP,"DF,MF",Espanyol,20-271,2001,2,0,16,0.2,0,1,0,0,0,0,0,0.00,5.63,5.63,0.00,5.63,0.0,0.0,0.3,0.3,0.00,1.97,1.97,0.00,1.97,Matches
Frenkie de Jong,nl NED,MF,Barcelona,24-307,1997,22,20,1692,18.8,3,3,3,0,0,5,1,0.16,0.16,0.32,0.16,0.32,4.0,4.0,2.3,6.3,0.21,0.12,0.33,0.21,0.33,Matches
Luuk de Jong,nl NED,FW,Barcelona,31-200,1990,15,6,577,6.4,5,0,5,0,0,0,0,0.78,0.00,0.78,0.78,0.78,3.3,3.3,0.2,3.5,0.52,0.03,0.55,0.52,0.55,Matches
Joan Jordán,es ESP,MF,Sevilla,27-252,1994,27,23,1848,20.5,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.8,0.8,1.2,2.1,0.04,0.06,0.10,0.04,0.10,Matches
Josan,es ESP,"DF,MF",Elche,32-102,1989,21,6,706,7.8,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,0.6,0.6,1.7,2.3,0.08,0.21,0.30,0.08,0.30,Matches
Willian José,br BRA,FW,Betis,30-112,1991,23,14,1209,13.4,8,4,5,3,3,2,0,0.60,0.30,0.89,0.37,0.67,5.7,3.5,2.5,5.9,0.43,0.19,0.61,0.26,0.44,Matches
Joselu,es ESP,FW,Alavés,31-353,1990,28,26,2336,26.0,12,2,6,6,6,0,0,0.46,0.08,0.54,0.23,0.31,9.6,5.0,2.9,7.9,0.37,0.11,0.48,0.19,0.30,Matches
Josema,es ESP,DF,Elche,25-282,1996,6,1,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Luka Jović,rs SRB,FW,Real Madrid,24-082,1997,13,0,293,3.3,1,2,1,0,0,0,0,0.31,0.61,0.92,0.31,0.92,1.9,1.9,0.8,2.7,0.59,0.25,0.83,0.59,0.83,Matches
Miguel Juan Llambrich,es ESP,DF,Espanyol,26-056,1996,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
José Juan Macías,mx MEX,"FW,MF",Getafe,22-174,1999,7,2,201,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.09,0.00,0.09,0.09,0.09,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Juanmi,es ESP,FW,Betis,28-299,1993,23,18,1456,16.2,12,1,12,0,0,5,0,0.74,0.06,0.80,0.74,0.80,7.7,7.7,1.0,8.6,0.47,0.06,0.53,0.47,0.53,Matches
Lago Junior,ci CIV,"FW,MF",Mallorca,31-074,1990,6,1,177,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.00,0.16,0.16,0.16,Matches
Vinicius Júnior,br BRA,FW,Real Madrid,21-246,2000,26,24,2111,23.5,14,6,14,0,0,6,0,0.60,0.26,0.85,0.60,0.85,10.3,10.3,5.6,15.9,0.44,0.24,0.68,0.44,0.68,Matches
Jutglà,es ESP,FW,Barcelona,23-042,1999,6,4,301,3.3,1,0,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.6,1.6,0.4,2.0,0.47,0.13,0.60,0.47,0.60,Matches
Jens Jønsson,dk DEN,MF,Cádiz,29-064,1993,20,15,1149,12.8,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.9,1.2,0.02,0.07,0.09,0.02,0.09,Matches
Lee Kangin,kr KOR,"MF,FW",Mallorca,21-024,2001,22,13,1160,12.9,1,2,1,0,0,4,1,0.08,0.16,0.23,0.08,0.23,1.4,1.4,2.1,3.5,0.11,0.16,0.27,0.11,0.27,Matches
Kike,es ESP,FW,Osasuna,32-110,1989,26,17,1622,18.0,5,1,4,1,1,1,0,0.28,0.06,0.33,0.22,0.28,5.9,5.2,2.0,7.2,0.33,0.11,0.44,0.29,0.40,Matches
Koba Koindredi,fr FRA,MF,Valencia,20-139,2001,9,1,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Koke,es ESP,MF,Atlético Madrid,30-066,1992,22,21,1808,20.1,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.9,1.8,0.04,0.05,0.09,0.04,0.09,Matches
Geoffrey Kondogbia,cf CTA,"MF,DF",Atlético Madrid,29-028,1993,19,13,1180,13.1,1,2,1,0,0,8,1,0.08,0.15,0.23,0.08,0.23,0.3,0.3,0.5,0.7,0.02,0.04,0.06,0.02,0.06,Matches
Jules Koundé,fr FRA,DF,Sevilla,23-123,1998,22,21,1836,20.4,0,1,0,0,0,2,2,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.8,2.2,0.02,0.09,0.11,0.02,0.11,Matches
Toni Kroos,de GER,MF,Real Madrid,32-070,1990,19,19,1615,17.9,1,3,1,0,0,2,0,0.06,0.17,0.22,0.06,0.22,1.9,1.9,2.6,4.5,0.10,0.15,0.25,0.10,0.25,Matches
Takefusa Kubo,jp JPN,"FW,MF",Mallorca,20-284,2001,19,15,1246,13.8,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,2.3,2.3,2.4,4.7,0.17,0.18,0.34,0.17,0.34,Matches
Víctor Laguardia,es ESP,DF,Alavés,32-130,1989,25,25,2243,24.9,2,1,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05,Matches
Diego Lainez,mx MEX,"FW,MF",Betis,21-279,2000,5,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.05,0.18,0.23,0.05,0.23,Matches
Érik Lamela,ar ARG,FW,Sevilla,30-011,1992,12,5,604,6.7,4,1,4,0,0,4,0,0.60,0.15,0.75,0.60,0.75,1.8,1.8,1.0,2.8,0.26,0.15,0.42,0.26,0.42,Matches
Toni Lato,es ESP,"DF,MF",Valencia,24-114,1997,11,7,590,6.6,0,1,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.5,0.5,0.00,0.07,0.07,0.00,0.07,Matches
Robin Le Normand,fr FRA,DF,Real Sociedad,25-124,1996,28,28,2520,28.0,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.9,0.9,0.1,1.0,0.03,0.00,0.04,0.03,0.04,Matches
Jeremías Ledesma,ar ARG,GK,Cádiz,29-030,1993,28,28,2520,28.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Wu Lei,cn CHN,"FW,MF",Espanyol,30-116,1991,16,3,331,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.1,0.12,0.17,0.29,0.12,0.29,Matches
